[header]
width=52
height=32
tilewidth=16
tileheight=16
orientation=orthogonal

[tilesets]
tileset=tileset/collision.png
tileset=tileset/ff_master_tile_sheet.png
tileset=tileset/outside.png

[layer]
type=sol1
data=
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,47,45,48,85,85,47,48,47,48,48,46,45,85,85,45,47,85,48,85,46,85,85,45,46,45,85,48,45,45,48,46,85,45,48,46,48,48,48,45,48,85,47,48,45,47,45,85,45,47,85,1,
1,47,45,45,48,45,45,47,48,47,45,85,48,45,45,46,48,48,47,48,85,48,48,47,85,85,46,45,47,85,46,46,45,47,85,85,45,48,85,85,45,48,47,47,85,48,85,85,85,48,48,1,
1,48,47,85,47,46,47,46,46,47,45,47,46,149,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,85,85,85,48,47,85,47,85,48,47,85,48,47,85,1,
1,48,45,48,46,46,45,85,47,46,45,45,46,48,45,48,45,47,45,85,47,46,47,46,45,47,46,47,46,48,45,47,47,46,85,48,45,85,46,48,85,46,85,46,45,85,46,48,85,47,85,1,
1,85,45,48,46,47,85,47,85,46,85,85,46,48,48,47,48,47,85,47,45,45,47,47,46,45,48,45,45,46,48,85,47,48,47,47,48,48,48,85,47,85,47,48,46,45,85,46,48,48,85,1,
1,47,48,47,45,85,85,48,48,47,47,85,45,85,46,85,85,47,45,47,45,46,47,46,48,48,48,46,48,46,48,46,85,45,85,45,48,85,85,48,48,85,45,45,85,48,45,48,45,48,48,1,
1,47,47,45,85,85,47,45,46,46,85,85,48,45,45,48,45,85,45,85,45,47,45,46,47,45,47,46,45,46,47,46,85,85,46,47,46,48,47,46,48,45,47,85,45,45,46,48,47,47,47,1,
1,48,947,948,949,947,948,949,85,85,85,46,47,47,48,45,85,47,48,48,45,45,46,47,48,46,45,47,45,85,85,85,85,45,85,46,48,45,46,46,46,46,85,47,46,48,85,46,48,130,47,1,
1,46,988,989,990,988,989,990,48,46,85,85,85,85,47,47,47,45,46,47,47,45,46,47,85,85,46,45,45,46,46,47,48,45,85,85,85,48,46,47,48,46,46,46,46,47,47,45,48,48,45,1,
